package,breaking_version,prior_stable_version,published_at,description,weekly_downloads,dependent_count,has_changelog,notes,label_breaking,pattern
lodash,4.0.0,3.10.1,2016-01-12T23:13:20.539+0,Lodash modular utilities.,153715606,126064,0,"Major API restructure, _.pluck removed",1,C
express,4.0.0,3.21.2,2014-04-09T20:39:26.853+0,Sinatra inspired web development framework,105166397,1684,0,Router API breaking change,1,B
react,16.0.0,15.6.2,2017-09-26T16:00:29.805+0,React is a JavaScript library for building user interfaces.,134168087,3068,0,Lifecycle methods deprecated/changed,1,A
react,17.0.0,16.14.0,2020-10-20T20:11:47.327+0,React is a JavaScript library for building user interfaces.,134168087,3068,0,Event delegation changed,1,C
react,18.0.0,17.0.2,2022-03-29T16:00:04.223+0,React is a JavaScript library for building user interfaces.,134168087,3068,0,"Concurrent rendering, ReactDOM.render deprecated",1,C
webpack,4.0.0,3.12.0,2018-02-25T02:38:21.375+0,"Packs CommonJs/AMD modules for the browser. Allows to split your codebase into multiple bundles, which can be loaded on demand. Support loaders to preprocess files, i.e. json, jsx, es7, css, less, ... and your custom stuff.",47702711,141928,0,Config API breaking change,1,C
webpack,5.0.0,4.46.0,2020-10-10T20:09:07.845+0,"Packs CommonJs/AMD modules for the browser. Allows to split your codebase into multiple bundles, which can be loaded on demand. Support loaders to preprocess files, i.e. json, jsx, es7, css, less, ... and your custom stuff.",47702711,141928,0,Node.js polyfills removed,1,B
babel-core,7.0.0,6.26.3,unknown,,7552548,60328,0,Package renamed to @babel/core,1,A
typescript,2.0.0,1.8.10,2016-07-11T16:13:28.984+0,TypeScript is a language for application scale JavaScript development,203106005,19872,0,"strictNullChecks, module resolution changes",1,C
typescript,3.0.0,2.9.2,unknown,,203106005,19872,0,"Project references, tuples breaking",1,A
typescript,4.0.0,3.9.7,unknown,,203106005,19872,0,"Variadic tuple types, breaking editor changes",1,A
angular,2.0.0,1.8.3,unknown,,561068,5232,0,"Complete rewrite, no backward compatibility",1,C
vue,3.0.0,2.6.14,2020-09-18T15:28:56.011+0,vue,12769918,142824,0,"Composition API, breaking changes to filters",1,B
moment,2.0.0,1.7.2,2013-02-08T19:13:31.027+0,"Parse, manipulate, and display dates.",33763236,81568,0,Locale API breaking change,1,C
axios,1.0.0,0.27.2,2022-10-04T19:24:14.051+0,Promise based HTTP client for the browser and node.js,107445524,2524,0,CommonJS/ESM breaking change,1,B
jest,27.0.0,26.6.3,2021-05-25T08:16:14.300+0,Delightful JavaScript Testing.,44155392,17964,0,Default test environment changed to node,1,B
jest,28.0.0,27.5.1,2022-04-25T12:08:24.788+0,Delightful JavaScript Testing.,44155392,17964,0,Multiple breaking config changes,1,B
eslint,6.0.0,5.16.0,2019-06-22T03:01:41.159+0,An AST-based pattern checker for JavaScript.,132905621,4132,0,"Node.js 6 dropped, plugin API changes",1,C
eslint,7.0.0,6.8.0,2020-05-08T18:51:12.123+0,An AST-based pattern checker for JavaScript.,132905621,4132,0,"Node.js 8 dropped, config changes",1,C
eslint,8.0.0,7.32.0,2021-10-09T20:46:13.874+0,An AST-based pattern checker for JavaScript.,132905621,4132,0,"CodePathAnalyzer breaking, plugin API change",1,C
mocha,6.0.0,5.2.0,2019-02-18T21:12:20.885+0,"simple, flexible, fun test framework",13755239,128896,0,"Node.js 4/5/6 dropped, CLI API changes",1,B
mocha,8.0.0,7.2.0,2020-06-10T19:12:11.507+0,"simple, flexible, fun test framework",13755239,128896,0,Root hooks breaking change,1,B
chalk,5.0.0,4.1.2,2021-11-26T09:57:35.917+0,Terminal string styling done right,434613822,67128,0,"ESM-only, breaks CommonJS require()",1,C
node-fetch,3.0.0,2.6.7,2021-08-31T16:22:24.563+0,A light-weight module that brings Fetch API to node.js,146005130,62848,0,"ESM-only, breaks CommonJS require()",1,B
uuid,8.0.0,7.0.3,2020-04-29T20:42:26.823+0,"RFC4122 (v1, v4, and v5) UUIDs",261337841,113344,1,Deep import paths removed,1,C
